country,country_code,year,bin_start_eur_ppa,bin_end_eur_ppa,bin_midpoint_eur_ppa,adults_pct_raw,adults_pct_smoothed,bin_width_eur_ppa,note
Suiza,CH,2024,75000,80000,77500.0,4.7221,4.6655,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,80000,85000,82500.0,2.5587,2.9278,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,85000,90000,87500.0,1.8716,2.1188,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,90000,95000,92500.0,2.1733,2.1356,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,95000,100000,97500.0,2.3241,2.0942,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,100000,105000,102500.0,1.5554,1.6106,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,105000,110000,107500.0,1.0074,1.0933,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,110000,115000,112500.0,0.8029,0.7945,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,115000,120000,117500.0,0.565,0.614,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,120000,125000,122500.0,0.523,0.4619,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,125000,130000,127500.0,0.2366,0.3082,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,0,5000,2500.0,4.6091,4.354,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,5000,10000,7500.0,3.5885,3.7373,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,10000,15000,12500.0,3.163,3.3226,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,15000,20000,17500.0,3.376,3.7185,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,20000,25000,22500.0,4.9588,5.6684,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,25000,30000,27500.0,9.3799,7.6476,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,30000,35000,32500.0,6.8719,7.7198,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,35000,40000,37500.0,7.7557,7.4248,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,40000,45000,42500.0,7.3159,7.13,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,45000,50000,47500.0,6.1325,6.396,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,50000,55000,52500.0,6.003,5.8613,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,55000,60000,57500.0,5.3068,5.2245,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,60000,65000,62500.0,4.2813,4.3561,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,65000,70000,67500.0,3.555,3.6076,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,70000,75000,72500.0,3.0391,3.0625,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,75000,80000,77500.0,2.6169,2.6233,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,80000,85000,82500.0,2.2205,2.2356,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,85000,90000,87500.0,1.8847,1.8913,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,90000,95000,92500.0,1.5755,1.5965,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,95000,100000,97500.0,1.3502,1.3505,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,100000,105000,102500.0,1.126,1.1423,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,105000,110000,107500.0,0.9668,0.9716,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,110000,115000,112500.0,0.8267,0.8293,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,115000,120000,117500.0,0.6968,0.7107,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,120000,125000,122500.0,0.6225,0.6207,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
EEUU,US,2024,125000,130000,127500.0,0.5411,0.5615,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
